code,name,first_date,last_date,bars
sh688220,翱捷科技-U,2022-01-14,2026-09-02,1123
sh688216,气派科技,2021-06-23,2026-09-02,1262
sh688221,前沿生物-U,2020-10-28,2026-09-02,1421
sh688217,睿昂基因,2021-05-17,2026-09-02,1288
sh688223,晶科能源,2022-01-26,2026-09-02,1115
sh688227,品高股份,2021-12-30,2026-09-02,1133
sh688225,亚信安全,2022-02-09,2026-09-02,1110
sh688222,成都先导,2020-04-16,2026-09-02,1549
sh688218,江苏北人,2019-12-11,2026-09-02,1632
sh688226,威腾电气,2021-07-07,2026-09-02,1252
sh688228,开普云,2020-03-27,2026-09-02,1552
sh688231,隆达股份,2022-07-22,2026-09-02,999
sh688230,芯导科技,2021-12-01,2026-09-02,1154
sh688229,博睿数据,2020-08-17,2026-09-02,1467
sh688232,新点软件,2021-11-17,2026-09-02,1164
sh688236,春立医疗,2021-12-30,2026-09-02,1133
sh688237,超卓航科,2022-07-01,2026-09-02,1004
sh688239,航宇科技,2021-07-05,2026-09-02,1254
sh688235,百济神州,2021-12-15,2026-09-02,1144
sh688234,天岳先进,2022-01-12,2026-09-02,1125
sh688238,和元生物,2022-03-22,2026-09-02,1081
sh688233,神工股份,2020-02-21,2026-09-02,1587
sh688251,井松智能,2022-06-06,2026-09-02,1033
sh688249,晶合集成,2023-05-05,2026-09-02,810
sh688247,宣泰医药,2022-08-25,2026-09-02,975
sh688252,天德钰,2022-09-27,2026-09-02,953
sh688244,永信至诚,2022-10-19,2026-09-02,942
sh688255,凯尔达,2021-10-25,2026-09-02,1181
sh688253,英诺特,2022-07-28,2026-09-02,995
sh688248,南网科技,2021-12-22,2026-09-02,1139
sh688256,寒武纪,2020-07-20,2026-09-02,1487
sh688261,东微半导,2022-02-10,2026-09-02,1109
sh688246,嘉和美康,2021-12-14,2026-09-02,1145
sh688259,创耀科技,2022-01-12,2026-09-02,1125
sh688258,卓易信息,2019-12-09,2026-09-02,1634
sh688257,新锐股份,2021-10-27,2026-09-02,1179
sh688260,昀冢科技,2021-04-06,2026-09-02,1311
sh688265,南模生物,2021-12-28,2026-09-02,1135
sh688262,国芯科技,2022-01-06,2026-09-02,1129
sh688266,泽璟制药-U,2020-01-23,2026-09-02,1602
sh688267,中触媒,2022-02-16,2026-09-02,1105
sh688268,华特气体,2019-12-26,2026-09-02,1621
sh688275,万润新能,2022-09-29,2026-09-02,951
sh688269,凯立新材,2021-06-09,2026-09-02,1271
sh688270,ST臻镭,2022-01-27,2026-09-02,1113
sh688271,联影医疗,2022-08-22,2026-09-02,978
sh688278,特宝生物,2020-01-17,2026-09-02,1606
sh688272,富吉瑞,2021-10-18,2026-09-02,1184
sh688276,百克生物,2021-06-25,2026-09-02,1260
sh688280,精进电动-W,2021-10-27,2026-09-02,1179
sh688279,峰岹科技,2022-04-20,2026-09-02,1062
sh688282,理工导航,2022-03-18,2026-09-02,1081
sh688283,坤恒顺维,2022-02-15,2026-09-02,1106
sh688285,高铁电气,2021-10-20,2026-09-02,1184
sh688277,天智航-U,2020-07-07,2026-09-02,1486
sh688281,华秦科技,2022-03-07,2026-09-02,1092
sh688286,敏芯股份,2020-08-10,2026-09-02,1472
sh688290,景业智能,2022-04-29,2026-09-02,1055
sh688293,奥浦迈,2022-09-02,2026-09-02,959
sh688287,退市观典,2022-05-25,2026-06-08,963
sh688288,鸿泉技术,2019-11-06,2026-09-02,1657
