Date,Open,High,Low,Close,Volume
2021-07-19,104.248795,105.124836,103.810775,104.248795,2066638
2021-07-20,102.167699,103.906724,102.167699,103.037211,2070074
2021-07-21,104.14125,104.576988,101.526826,101.962563,2864601
2021-07-22,102.725719,104.466833,102.725719,104.031554,1919233
2021-07-23,103.05154,103.486357,102.181907,103.05154,1747651
2021-07-26,103.81194,104.2463,101.640142,101.640142,1836657
2021-07-27,102.451899,103.320135,100.715426,100.715426,2916330
2021-07-28,99.691385,100.124826,97.524181,98.824503,6033084
2021-07-29,100.051328,100.486333,98.311305,99.181316,3054699
2021-07-30,99.814381,99.814381,98.501034,98.501034,2888566
2021-08-02,98.615897,101.656916,98.181466,100.788054,4276730
2021-08-03,102.647964,104.822709,101.778066,104.38776,4396423
2021-08-04,106.218117,107.088757,104.912156,105.347477,4162635
2021-08-05,105.763678,106.200718,103.141438,104.889598,3491584
2021-08-06,104.101057,104.538457,102.788859,103.226258,2209875
2021-08-09,102.627254,103.063966,101.317119,101.317119,2755724
2021-08-10,100.358672,100.795014,97.74062,98.176962,5420223
2021-08-11,94.578649,95.446343,91.107873,91.54172,13715267
2021-08-12,88.476386,90.211218,86.568072,87.175263,19150647
2021-08-13,85.709856,87.344883,85.107477,87.344883,11622957
2021-08-17,86.732503,88.879347,86.303134,87.161872,7851717
2021-08-18,87.551536,89.676573,86.276513,88.401551,8047599
2021-08-19,88.058268,90.195605,86.775866,87.630801,6161038
2021-08-20,88.481269,88.90666,86.779706,87.205097,4719139
2021-08-23,88.993733,89.41954,87.716311,87.716311,4515699
2021-08-24,89.499063,90.355514,89.070838,89.927288,4454743
2021-08-25,91.106778,91.106778,88.098535,88.958033,3194555
2021-08-26,91.117743,91.547544,88.96874,89.39854,3694741
2021-08-27,88.461538,89.316239,86.324786,88.461538,3507782
2021-08-30,90.413581,90.844122,89.121958,89.121958,1815758
2021-08-31,88.802326,91.376307,87.515336,91.376307,4979276
2021-09-01,91.504732,93.231237,90.209854,93.231237,4736183
2021-09-02,93.483828,93.916624,91.752646,92.185442,2724565
2021-09-03,92.038059,92.902266,91.605956,92.470163,2513486
2021-09-06,92.227755,92.660749,90.928772,91.794761,1888595
2021-09-07,91.299303,91.732001,90.001209,90.433907,2547667
2021-09-08,89.57795,92.592593,89.147287,91.300603,2891267
2021-09-09,90.013631,90.870904,88.299086,88.299086,3233011
2021-09-10,88.527366,90.23804,88.099698,89.810371,1999369
2021-09-13,89.791171,91.501479,88.936017,91.073902,1923344
2021-09-14,91.793257,92.647148,90.939366,91.793257,2463248
2021-09-15,91.817557,91.817557,90.109323,91.817557,2933797
2021-09-16,91.828155,92.257258,89.253534,89.253534,3602821
2021-09-17,88.980089,91.534541,88.554347,91.108799,3386517
2021-09-23,89.328804,90.598882,88.905445,89.328804,2493313
2021-09-24,90.235809,90.661449,88.533246,88.533246,2236954
2021-09-27,88.19539,89.467439,87.771374,88.619407,1839358
2021-09-28,89.21289,89.637714,87.513597,87.938421,2951945
2021-09-29,85.096343,85.938881,84.001044,84.253805,6353977
2021-09-30,84.131271,87.163029,83.878625,86.741951,3910557
2021-10-01,86.169029,86.591426,84.47944,84.47944,2681124
2021-10-05,83.545927,84.052778,82.109849,82.701176,3244145
2021-10-06,82.886188,83.13889,80.696106,81.285744,2816951
2021-10-07,80.830633,81.250314,79.739461,80.327015,3834957
2021-10-08,80.762287,80.846239,78.49557,78.915332,4098832
2021-10-12,77.270443,77.688574,75.932427,76.517809,4728215
2021-10-13,75.946828,78.119124,75.612628,76.865876,3045438
2021-10-14,77.862328,79.631926,77.609528,79.04206,2414639
2021-10-15,81.209342,83.324169,80.955563,83.239576,4229748
2021-10-18,83.178904,83.178904,81.825025,82.163495,2111399
2021-10-19,83.159027,83.159027,81.893931,82.399969,1400175
2021-10-20,83.528259,83.868497,82.677666,83.273081,2010529
2021-10-21,82.837418,83.688779,81.815785,81.986057,2152221
2021-10-22,81.169518,84.314305,81.169518,83.719345,1962833
2021-10-25,84.570008,86.269907,83.550068,84.994982,2950459
2021-10-26,86.970674,88.684382,86.542247,87.399101,3458645
2021-10-27,88.235549,89.092205,86.950566,86.950566,2859255
2021-10-28,87.018091,91.710243,86.591532,90.857125,6329703
2021-10-29,91.659029,92.943968,88.232523,88.232523,4007223
2021-11-01,88.13161,91.111905,87.280096,90.686149,3118661
2021-11-02,90.94232,92.217212,90.517355,91.367284,2892292
2021-11-03,92.102133,92.526566,88.706662,89.55553,3116506
2021-11-04,90.728715,91.576647,89.456817,89.880783,2059242
2021-11-05,91.075453,91.497098,88.967225,90.232161,2523345
2021-11-08,90.63956,91.486658,88.098263,91.063109,2212348
2021-11-09,90.010502,91.677363,89.593787,90.843933,3440686
2021-11-10,92.144374,92.993631,91.295117,92.144374,2361295
2021-11-11,90.783183,91.205431,89.094194,90.783183,2731498
2021-11-12,92.130065,92.55268,89.17176,90.01699,1786165
2021-11-15,92.018558,94.562849,91.594509,94.138801,4701568
2021-11-16,93.788814,95.478702,92.098925,94.633758,3767311
2021-11-17,95.435155,95.435155,92.901478,93.323758,3062491
2021-11-18,93.123271,93.969847,92.276696,93.123271,1928891
2021-11-19,92.991798,95.105248,92.991798,94.259868,2324668
2021-11-22,97.765246,101.541585,97.345652,100.282805,9786492
2021-11-23,100.462379,101.723413,98.781,100.042034,4847270
2021-11-24,101.264763,102.945506,99.163834,100.424392,4001111
2021-11-25,101.441223,101.862141,98.494797,98.915715,3339835
2021-11-26,97.881066,99.561428,94.940434,97.040886,4337936
2021-11-29,94.591541,99.195555,94.591541,97.102821,4412863
2021-11-30,99.098041,99.937855,94.479064,95.738785,7449608
2021-12-01,96.799284,99.33551,94.685763,98.490101,4214135
2021-12-02,98.121672,102.369364,97.696903,101.944594,6980518
2021-12-03,101.124262,101.549154,98.150019,100.274478,4567843
2021-12-06,98.044186,100.579812,97.621582,100.157208,4318893
2021-12-07,100.799616,103.76431,99.95256,102.917254,5112025
2021-12-08,105.366918,106.216651,101.543118,101.967985,6168137
2021-12-09,102.766591,105.325095,101.487339,105.325095,5631833
2021-12-10,102.350237,103.199617,101.500857,102.350237,2512642
2021-12-13,102.631961,105.176555,102.631961,103.05606,3329176
2021-12-14,101.679185,103.788712,101.25728,102.101091,2201003
2021-12-15,101.331669,104.287176,101.331669,104.287176,2681332
2021-12-16,105.538667,105.960822,103.427894,104.694358,3869086
2021-12-17,101.589173,103.696832,101.589173,102.853768,3850444
2021-12-20,102.411516,104.097302,101.568623,101.568623,2846815
2021-12-21,104.191174,104.6113,102.930797,104.6113,3678590
2021-12-22,107.028632,107.868072,105.769471,106.608911,3817689
2021-12-23,108.606883,108.606883,106.502099,107.344013,2398358
