date,n_pool,k,sig_long,sig_short
2023-04-12 00:00:00+00:00,165,33,-0.0008474098989898992,0.00030060616161616167
2023-04-15 00:00:00+00:00,165,33,2.389676767676755e-05,0.0005267529292929293
2023-04-18 00:00:00+00:00,166,33,-1.6556363636363556e-05,0.0008842112121212122
2023-04-21 00:00:00+00:00,166,33,1.973686868686856e-05,0.00041208484848484847
2023-04-24 00:00:00+00:00,168,33,-0.000535827878787879,0.00032700777777777777
2023-04-27 00:00:00+00:00,168,33,-0.0005530765656565656,0.00030210141414141413
2023-04-30 00:00:00+00:00,171,34,-0.0003723410784313725,0.00030426980392156866
2023-05-03 00:00:00+00:00,171,34,-0.0003066164705882353,0.000309434705882353
2023-05-06 00:00:00+00:00,173,34,-0.0002816429411764706,0.000311875980392157
2023-05-09 00:00:00+00:00,173,34,-0.0007440688235294118,0.00031437450980392165
2023-05-12 00:00:00+00:00,173,34,-0.0009508440196078433,0.0002979495098039216
2023-05-15 00:00:00+00:00,174,34,-0.0005597490196078431,0.0002971472549019609
2023-05-18 00:00:00+00:00,173,34,-0.0005833291176470588,0.0003047702941176472
2023-05-21 00:00:00+00:00,170,34,-0.0003064955882352941,0.0003039142156862746
2023-05-24 00:00:00+00:00,170,34,-0.0005494691176470589,0.0003210648039215687
2023-05-27 00:00:00+00:00,169,33,-0.0005795725252525253,0.0003237600000000001
2023-05-30 00:00:00+00:00,169,33,-0.0006056775757575757,0.00033164363636363644
2023-06-02 00:00:00+00:00,168,33,-0.000660328787878788,0.00031095737373737384
2023-06-05 00:00:00+00:00,170,34,-0.00014496656862745107,0.00033037549019607855
2023-06-08 00:00:00+00:00,171,34,-0.0009255433333333332,0.00029937980392156865
2023-06-11 00:00:00+00:00,171,34,-0.0011789256862745096,0.00020521107843137255
2023-06-14 00:00:00+00:00,172,34,-0.0008593584313725489,0.0002793481372549019
2023-06-17 00:00:00+00:00,171,34,-0.0005921646078431372,0.0002940620588235294
2023-06-20 00:00:00+00:00,170,34,-0.0006340241176470588,0.0002865650000000001
2023-06-23 00:00:00+00:00,170,34,-0.00036942509803921574,0.0003026283333333334
2023-06-26 00:00:00+00:00,172,34,-0.00025994382352941177,0.00031156980392156873
2023-06-29 00:00:00+00:00,171,34,-0.0005809163725490197,0.00029453401960784323
2023-07-02 00:00:00+00:00,172,34,-0.0003323177450980392,0.0003089320588235294
2023-07-05 00:00:00+00:00,173,34,-0.0004634498039215686,0.00030385519607843144
2023-07-08 00:00:00+00:00,173,34,-0.0008016152941176471,0.0002919713725490196
2023-07-11 00:00:00+00:00,172,34,-0.0005499305882352939,0.00029276833333333327
2023-07-14 00:00:00+00:00,173,34,-0.0004183401960784315,0.00032697284313725497
2023-07-17 00:00:00+00:00,173,34,-0.0005194411764705883,0.00030978009803921575
2023-07-20 00:00:00+00:00,171,34,-0.00011823411764705884,0.00030134127450980394
2023-07-23 00:00:00+00:00,171,34,-0.0020734230392156863,0.00030000000000000003
2023-07-26 00:00:00+00:00,171,34,-0.0016223139215686274,0.00029831294117647076
2023-07-29 00:00:00+00:00,171,34,-0.0011456730392156863,0.0003016816666666667
2023-08-01 00:00:00+00:00,173,34,-0.0006360103921568625,0.0003000000980392157
2023-08-04 00:00:00+00:00,171,34,-0.0010760263725490193,0.0003032786274509805
2023-08-07 00:00:00+00:00,171,34,-0.0017148519607843137,0.0003311343137254903
2023-08-10 00:00:00+00:00,173,34,-0.0019312822549019605,0.00031375892156862754
2023-08-13 00:00:00+00:00,171,34,-0.0021516862745098037,0.00034333676470588246
2023-08-16 00:00:00+00:00,172,34,-0.0014984969607843134,0.00030000000000000003
