,turnover
2018-08-17,0.00036817390937516064
2018-08-20,0.004940986284779836
2018-08-21,0.0007334420154136271
2018-08-22,0.00011752930556970502
2018-08-23,0.00046636323054182854
2018-08-24,0.0
2018-08-27,0.0
2018-08-28,0.0
2018-08-29,0.00018624884455314557
2018-08-30,0.0001651485321448163
2018-08-31,0.0002337706098460487
2018-09-03,-1.624888220568977e-20
2018-09-04,0.0
2018-09-05,0.0
2018-09-06,0.0
2018-09-07,0.0005593454126732409
2018-09-10,1.454378700979392
2018-09-11,0.0049930160503688535
2018-09-12,0.001183279908724979
2018-09-13,0.017198790052023724
2018-09-14,0.00019223696899138895
2018-09-17,0.005276449562750331
2018-09-18,0.0006747766322231839
2018-09-19,0.0006957392963138376
2018-09-20,0.00027425236093550664
2018-09-21,0.0013694645348222973
2018-09-25,0.00012297638677871012
2018-09-26,0.0
2018-09-27,0.00030713893124598423
2018-09-28,0.000525559638818032
2018-10-08,6.778816836824256e-20
2018-10-09,0.0003237143833888643
2018-10-10,0.00576790973966278
2018-10-11,0.006771953954227898
2018-10-12,0.0007691149384304312
2018-10-15,-7.413867981172858e-20
2018-10-16,1.411483711654064
2018-10-17,0.007944726481065627
2018-10-18,0.0005712587404552805
2018-10-19,0.00215603604138323
2018-10-22,0.0008022137693469354
2018-10-23,0.0005669093904718204
2018-10-24,0.0007901201156440427
2018-10-25,0.000492919175351589
2018-10-26,0.00010126642263521063
2018-10-29,0.0006526178574920757
2018-10-30,0.00042559702713269306
2018-10-31,0.0005881658109534401
2018-11-01,0.0006579808181460165
2018-11-02,0.007341077467168076
2018-11-05,-1.1124428394892191e-18
2018-11-06,0.006141742260944184
2018-11-07,5.560633530665524e-19
2018-11-08,0.00709817351111065
2018-11-09,0.0003075264677690235
2018-11-12,0.005661432301476535
2018-11-13,1.397928113577714
2018-11-14,0.004425531436171246
2018-11-15,0.002335063598727656
2018-11-16,0.004730469120306349
2018-11-19,0.006325252462188834
2018-11-20,0.0007503162301462556
2018-11-21,0.00028450255444953333
2018-11-22,0.00013714139455453105
2018-11-23,0.00035859001768117396
